name,length,energy,danceability,acousticness,popularity
Kiss Me More (feat. SZA),3.48,0.701,0.762,0.235,99
Levitating (feat. DaBaby),3.38,0.825,0.702,0.00883,92
MONTERO (Call Me By Your Name),2.3,0.508,0.61,0.297,75
good 4 u,2.97,0.661,0.556,0.3,98
Save Your Tears (with Ariana Grande) (Remix),3.18,0.825,0.65,0.0215,95
Todo De Ti,3.38,0.626,0.808,0.397,98
Leave The Door Open,4.03,0.616,0.586,0.182,96
Butter,2.74,0.459,0.759,0.00323,97
Yonaguni,3.45,0.648,0.644,0.276,95
Peaches (feat. Daniel Caesar & Giveon),3.3,0.696,0.677,0.321,98
Build a Bitch,2.05,0.463,0.855,0.217,93
deja vu,3.59,0.61,0.439,0.593,93
Beautiful Mistakes (feat. Megan Thee Stallion),3.79,0.676,0.713,0.0377,91
Leave Before You Love Me (with Jonas Brothers),2.58,0.738,0.721,0.00226,86
Lost Cause,3.54,0.336,0.671,0.705,89
Need To Know,3.51,0.609,0.664,0.304,83
Heat Waves,3.98,0.525,0.761,0.44,84
Astronaut In The Ocean,2.21,0.695,0.778,0.175,94
RAPSTAR,2.77,0.536,0.789,0.41,94
Heartbreak Anniversary,3.31,0.459,0.443,0.546,80
traitor,3.82,0.339,0.38,0.691,95
We're Good,2.76,0.588,0.722,0.0319,88
Goosebumps - Remix,2.71,0.593,0.841,0.418,91
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,2.82,0.862,0.824,0.0076,94
WITHOUT YOU,2.69,0.413,0.662,0.213,90
Hold On,2.85,0.634,0.658,0.0106,88
Solar Power,3.21,0.47,0.735,0.266,84
Heartbreak Anthem (with David Guetta & Little Mix),3.06,0.784,0.595,0.216,87
Run,2.82,0.72,0.682,0.326,87
Best Friend (feat. Doja Cat),2.6,0.766,0.84,0.00302,88
Late At Night,2.91,0.403,0.643,0.343,84
Having Our Way (feat. Drake),4.64,0.538,0.927,0.0312,81
SUN GOES DOWN,2.8,0.636,0.551,0.0837,86
seaside_demo,2.2,0.824,0.706,0.355,80
t r a n s p a r e n t s o u l feat. Travis Barker,2.8,0.83,0.39,0.0021,85
Rasputin,3.1,0.913,0.758,0.00364,90
By Your Side (feat. Tom Grennan),3.16,0.96,0.733,0.0514,83
Qu� M�s Pues?,3.63,0.819,0.891,0.0261,89
Our Song,2.73,0.759,0.595,0.141,85
Arcade,3.09,0.35,0.453,0.827,76
Your Love (9PM),2.5,0.784,0.669,0.194,91
Little Bit of Love,3.77,0.706,0.689,0.0833,82
Girls Like Us,3.15,0.648,0.444,0.288,84
Black Hole,3.34,0.64,0.878,0.142,80
ZITTI E BUONI,3.25,0.939,0.625,0.00138,89
Up,2.62,0.795,0.868,0.0012,88
34+35,2.9,0.585,0.83,0.237,87
Your Power,4.1,0.285,0.634,0.937,91
telepat�a,2.67,0.524,0.653,0.112,93
BED,2.97,0.783,0.663,0.0134,71
Modern Day,4.03,0.629,0.87,0.173,76
Hats Off (feat. Travis Scott),4.29,0.65,0.596,0.138,81
Never Left,2.81,0.659,0.807,0.0224,85
Solid (feat. Drake),3.59,0.485,0.887,0.0392,85
Ramen & OJ,3.64,0.571,0.597,0.492,84
No Return (with The Kid LAROI & Lil Durk),2.81,0.645,0.479,0.135,80
LUMBERJACK,2.31,0.762,0.386,0.122,68
Seeing Green (with Drake & Lil Wayne),5.66,0.867,0.573,0.0853,82
Straightenin,4.26,0.629,0.847,0.0318,83
GANG GANG (with Lil Wayne),2.98,0.563,0.752,0.146,84
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),3.94,0.727,0.477,0.000866,84
Run It Up (feat. Offset & Moneybagg Yo),3.87,0.575,0.88,0.415,83
Wockesha,3.02,0.537,0.582,0.129,82
Wants and Needs (feat. Lil Baby),3.22,0.449,0.578,0.0618,89
Miss The Rage (feat. Playboi Carti),3.95,0.859,0.584,0.0144,88
4 Da Gang (with Roddy Ricch),2.6,0.545,0.871,0.0143,81
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",3.73,0.707,0.792,0.116,82
Tampa,2.94,0.408,0.888,0.164,80
Headshot (feat. Polo G & Fivio Foreign),2.41,0.638,0.809,0.0758,59
m y . l i f e (with 21 Savage & Morray),3.65,0.587,0.597,0.0622,88
Company (feat. Future),3.55,0.727,0.831,0.447,78
She Make It Clap,1.86,0.471,0.941,0.0308,74
Thot Shit,3.08,0.693,0.95,0.0133,78
Bundles (feat. Taylor Girlz),2.58,0.682,0.939,0.00152,79
p r i d e . i s . t h e . d e v i l (with Lil Baby),3.64,0.656,0.861,0.104,88
Final Warning,2.61,0.912,0.847,0.0781,79
Ski,2.54,0.621,0.953,0.017,81
What You Need,3.63,0.655,0.664,0.059,80
"Switch it Up (feat. G Herbo, No More Heroes)",2.81,0.731,0.443,0.289,74
a m a r i,2.47,0.713,0.725,0.127,86
Tell Em,3.01,0.717,0.672,0.103,84
Voice of the Heroes,3.49,0.661,0.754,0.173,76
2055,2.07,0.512,0.829,0.492,68
WHOLE LOTTA MONEY,2.6,0.371,0.897,0.0904,81
Up The Side (feat. Young Thug),3.64,0.563,0.644,0.0518,73
Rule #1 (feat. Lil Yachty),2.58,0.355,0.938,0.0258,72
Feelin' Peachy,3.19,0.56,0.6,0.3,66
durag activity (with Travis Scott),3.75,0.701,0.89,0.00306,79
Killer (feat. Jack Harlow & Cordae) - Remix,3.94,0.73,0.924,0.0525,80
24 Hours (feat. Lil Durk),3.43,0.474,0.586,0.334,77
Like 34 & 8 (feat. Pooh Shiesty),3.87,0.585,0.76,0.0154,67
Fractions,3.03,0.523,0.924,0.011,76
BIG PURR (Prrdd) (feat. Pooh Shiesty),1.95,0.412,0.774,0.026,76
Twerkulator,2.31,0.469,0.895,0.0012,77
Freedom Was A Highway,3.55,0.859,0.566,0.0815,70
Famous Friends,2.76,0.855,0.533,0.0553,78
half of my hometown (feat. Kenny Chesney),3.86,0.618,0.571,0.147,72
To Us It Did,2.76,0.86,0.687,0.0105,73
Things A Man Oughta Know,3.44,0.67,0.661,0.518,29
Forever After All,3.88,0.65,0.487,0.191,83
Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),2.68,0.678,0.627,0.185,76
Gone,3.43,0.746,0.521,0.00985,75
Memory I Don't Mess With,3.01,0.704,0.617,0.171,73
Chasing After You (with Maren Morris),3.47,0.679,0.596,0.723,79
Always Gonna Love You,2.95,0.723,0.543,0.165,75
We Didn't Have Much,2.91,0.662,0.469,0.427,46
I Quit Drinking,2.85,0.418,0.607,0.394,75
Nobody,2.68,0.747,0.573,0.519,77
Long Haul,3.85,0.627,0.506,0.423,60
Between You & Me (feat. Ashley Cooke),2.82,0.615,0.629,0.00709,72
Home Sweet,3.43,0.813,0.58,0.0386,73
The Good Ones,3.59,0.552,0.519,0.18,79
Not Yet,2.9,0.783,0.464,0.000689,73
Thinking 'Bout You (feat. MacKenzie Porter),2.84,0.711,0.403,0.137,74
Blame It On You,3.59,0.783,0.484,0.0957,73
Glad You Exist,2.41,0.551,0.748,0.235,81
Next Girl,2.74,0.867,0.583,0.143,72
You Should Probably Leave,3.56,0.477,0.602,0.268,77
Waves,3.81,0.771,0.494,0.0649,72
Drunk (And I Don't Wanna Go Home),4.09,0.884,0.612,0.00516,76
Better Than You�re Used To,3.3,0.817,0.586,0.106,72
I Can't (feat. Old Dominion),3.5,0.667,0.499,0.2,63
